"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\PublicStartupProfileView.tsx", "TypeScript JSX", 0, 230, 0, 0, 0, 22, 252
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\PublicStudentProfileView.tsx", "TypeScript JSX", 0, 436, 0, 0, 1, 40, 477
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\IdealCandidateCard.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 7, 81
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\PortfolioCard.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 5, 68
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\ProfilePortfolioCard.tsx", "TypeScript JSX", 0, 94, 0, 0, 0, 13, 107
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\ProfilePortfolioSection.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 4, 55
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\ProfileSkillsSection.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 7, 83
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\SkillRadarChart.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 6, 71
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\StartupProfileChallengeCard.tsx", "TypeScript JSX", 0, 107, 0, 0, 1, 10, 118
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\components\StartupQnA.tsx", "TypeScript JSX", 0, 126, 0, 0, 1, 17, 144
"c:\Users\zdene\Desktop\studenthub\src\app\profile\[id]\page.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 15, 66
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\StartupEditForm.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 20, 169
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\StudentEditForm.tsx", "TypeScript JSX", 0, 244, 0, 0, 3, 23, 270
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\components\AvatarUploader.tsx", "TypeScript JSX", 0, 151, 0, 0, 0, 28, 179
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\components\EditCategorySelector.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 14, 126
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\components\EditLanguageSelector.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 15, 127
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\components\EditSkillSelector.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 15, 127
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\components\EditSocialLinks.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 4, 46
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\components\EditTechnologySelector.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 13, 97
"c:\Users\zdene\Desktop\studenthub\src\app\profile\edit\page.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 7, 46
"c:\Users\zdene\Desktop\studenthub\src\app\profile\page.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 5, 22
"c:\Users\zdene\Desktop\studenthub\src\app\profile\recruitment\IdealCandidateForm.tsx", "TypeScript JSX", 0, 152, 0, 0, 0, 14, 166
"c:\Users\zdene\Desktop\studenthub\src\app\profile\recruitment\QnaManagement.tsx", "TypeScript JSX", 0, 166, 0, 0, 1, 16, 183
"c:\Users\zdene\Desktop\studenthub\src\app\profile\recruitment\page.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 7, 70
"c:\Users\zdene\Desktop\studenthub\src\app\register\page.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 5, 82
"c:\Users\zdene\Desktop\studenthub\src\app\register\startup\page.tsx", "TypeScript JSX", 0, 577, 0, 0, 1, 107, 685
"c:\Users\zdene\Desktop\studenthub\src\app\register\startup\steps\Step1_CompanyInfo.tsx", "TypeScript JSX", 0, 137, 0, 0, 0, 12, 149
"c:\Users\zdene\Desktop\studenthub\src\app\register\startup\steps\Step2_ContactPerson.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 9, 66
"c:\Users\zdene\Desktop\studenthub\src\app\register\startup\steps\Step3_Categories.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 8, 53
"c:\Users\zdene\Desktop\studenthub\src\app\register\startup\steps\Step4_LogoUpload.tsx", "TypeScript JSX", 0, 79, 0, 0, 0, 13, 92
"c:\Users\zdene\Desktop\studenthub\src\app\register\student\page.tsx", "TypeScript JSX", 0, 551, 0, 0, 0, 93, 644
"c:\Users\zdene\Desktop\studenthub\src\app\register\student\steps\Step1_PersonalInfo.tsx", "TypeScript JSX", 0, 180, 0, 0, 1, 19, 200
"c:\Users\zdene\Desktop\studenthub\src\app\register\student\steps\Step2_EducationInfo.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 10, 83
"c:\Users\zdene\Desktop\studenthub\src\app\register\student\steps\Step3_Skills.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 9, 52
"c:\Users\zdene\Desktop\studenthub\src\app\register\student\steps\Step4_Languages.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 8, 49
"c:\Users\zdene\Desktop\studenthub\src\app\startups\page.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 7, 91
"c:\Users\zdene\Desktop\studenthub\src\app\students\page.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 8, 90
"c:\Users\zdene\Desktop\studenthub\src\app\test-notifications\page.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 12, 82
